iter	RMSEWithUncertainty
0	3.174859748
1	5.514720753e+49
2	1.14734932e+51
3	2.141506155e+50
4	3.61197192e+49
5	1.741238725e+49
6	1.689368751e+48
7	8.299616688e+47
8	3.1369816e+47
9	2.960184685e+46
10	1.415800874e+46
11	2.225232184e+45
12	5.986209124e+44
13	4.224373982e+43
14	6.930182516e+42
15	1.674032299e+43
16	8.214955676e+41
17	4.42695589e+41
18	1.545038707e+41
19	1.458060263e+41
20	7.83363338e+39
21	5.134673731e+39
22	1.505826681e+39
23	7.476778408e+39
24	1.305204634e+38
25	2.216130846e+37
26	2.017636277e+38
27	5.101504168e+36
28	1.5536598e+36
29	5.785292727e+35
30	3.373184547e+35
31	1.144557458e+35
32	1.790989512e+35
33	1.147009988e+34
34	1.497571914e+34
35	6.781803326e+32
36	1.457897407e+32
37	4.855214644e+31
38	6.80041894e+30
39	2.835407482e+30
40	6.74116504e+29
41	1.627895338e+30
42	6.436539954e+29
43	1.070043098e+28
44	8.52519657e+26
45	1.438170594e+27
46	7.510273788e+26
47	4.682305617e+26
48	1.950671012e+25
49	4.545486364e+24
50	1.194207135e+26
51	8.912082985e+23
52	1.200282846e+25
53	1.997897285e+24
54	2.807064207e+25
55	8.444297796e+23
56	4.013531124e+22
57	2.704685116e+22
58	1.279838079e+21
59	2.861271875e+21
60	1.141665624e+20
61	6.84080006e+19
62	2.20492233e+19
63	4.405223188e+18
64	9.427972145e+17
65	4.095736363e+17
66	1.075447573e+17
67	5.462538394e+16
68	6.172437521e+15
69	2.54192105e+15
70	7.6532222e+13
71	6.33804482e+15
72	1.130886412e+15
73	3.678843505e+15
74	4.912322176e+13
75	5.590234586e+16
76	5.141556048e+15
77	1.174002033e+15
78	1.182194826e+14
79	2.315880489e+13
80	7.105957688e+12
81	5.054706903e+11
82	2.826747573e+13
83	3.334373665e+11
84	5475321813
85	5.752925189e+10
86	1988057539
87	278673128.2
88	5125175314
89	45359272.64
90	28753312.3
91	10883617.91
92	3557946.538
93	828403.6649
94	1834375.629
95	415846323.9
96	33334314.74
97	3162337.028
98	303425.1397
99	990654.8661
