iter	Passed	Remaining
0	0	52
1	0	36
2	1	35
3	1	32
4	1	30
5	1	30
6	2	28
7	2	27
8	2	27
9	2	25
10	3	26
11	3	25
12	3	24
13	3	24
14	4	24
15	4	23
16	4	22
17	5	22
18	5	22
19	5	21
20	5	21
21	5	20
22	6	20
23	6	20
24	6	19
25	6	19
26	6	18
27	7	18
28	7	17
29	7	17
30	7	16
31	7	16
32	7	16
33	8	16
34	8	16
35	9	16
36	9	15
37	9	15
38	10	15
39	10	15
40	10	15
41	11	15
42	11	15
43	12	15
44	12	15
45	12	15
46	13	14
47	13	14
48	13	14
49	14	14
50	14	14
51	14	13
52	15	13
53	15	13
54	15	13
55	16	12
56	16	12
57	17	12
58	17	12
59	17	11
60	18	11
61	18	11
62	18	11
63	19	10
64	19	10
65	19	10
66	20	9
67	20	9
68	20	9
69	21	9
70	21	8
71	22	8
72	22	8
73	22	8
74	23	7
75	23	7
76	24	7
77	24	6
78	24	6
79	25	6
80	25	6
81	25	5
82	26	5
83	26	5
84	27	4
85	27	4
86	27	4
87	28	3
88	28	3
89	28	3
90	29	2
91	29	2
92	29	2
93	30	1
94	30	1
95	31	1
96	31	0
97	31	0
98	32	0
99	32	0
