iter	Accuracy	MultiClass
0	0.9104	0.5730711551
1	0.9037333333	0.5046238786
2	0.8674666667	0.4618810988
3	0.8869333333	0.4105690765
4	0.8893333333	0.3775365972
5	0.8864	0.3622706056
6	0.8893333333	0.328730737
7	0.8848	0.3203033401
8	0.8944	0.3019244855
9	0.8986666667	0.2948308274
10	0.8965333333	0.2859000486
11	0.8936	0.2780373582
12	0.8906666667	0.2760354088
13	0.8896	0.2753669355
14	0.8914666667	0.2630503291
15	0.8914666667	0.261689126
16	0.8933333333	0.2559806645
17	0.8928	0.2553653507
18	0.8968	0.2495746732
19	0.8976	0.2482114412
20	0.9021333333	0.241038815
21	0.9053333333	0.2364934805
22	0.912	0.2307482261
23	0.9112	0.2307385052
24	0.9245333333	0.2215685151
25	0.9328	0.2121876758
26	0.9434666667	0.2053901894
27	0.9466666667	0.2001675887
28	0.9482666667	0.1937193873
29	0.9485333333	0.1891075657
30	0.9528	0.1843900561
31	0.9552	0.1808068892
32	0.9544	0.1806202296
33	0.9544	0.1806202268
34	0.9544	0.17832064
35	0.9565333333	0.174613967
36	0.9573333333	0.174465363
37	0.9573333333	0.1739660528
38	0.9576	0.1721342096
39	0.9584	0.1699773233
40	0.9584	0.1699773192
41	0.9584	0.1678817465
42	0.9586666667	0.1676955285
43	0.9586666667	0.1676954109
44	0.9586666667	0.167364795
45	0.9589333333	0.1660550684
46	0.9605333333	0.163923036
47	0.9610666667	0.1618312003
48	0.9610666667	0.1618311038
49	0.9616	0.1608622816
50	0.9621333333	0.1607490554
51	0.9605333333	0.1585971539
52	0.9608	0.1562959988
53	0.9608	0.1562959986
54	0.9608	0.1558109126
55	0.9618666667	0.154647632
56	0.9632	0.1545811866
57	0.9632	0.1545811635
58	0.9624	0.1543708418
59	0.9621333333	0.153168464
60	0.9626666667	0.1528972598
61	0.9624	0.1525300397
62	0.9621333333	0.1524485967
63	0.9616	0.1520461827
64	0.9618666667	0.1519510041
65	0.9621333333	0.1515459198
66	0.9669333333	0.1475324672
67	0.9672	0.1450039946
68	0.9669333333	0.1448342634
69	0.9672	0.144315064
70	0.9674666667	0.143911373
71	0.9677333333	0.1433795927
72	0.968	0.1414488385
73	0.9685333333	0.1409383341
74	0.9696	0.1384637219
75	0.9696	0.138338998
76	0.9696	0.1382561263
77	0.9696	0.1381024343
78	0.9704	0.1344533399
79	0.9704	0.1344530379
80	0.9712	0.1317037207
81	0.9712	0.1314216389
82	0.9709333333	0.1312004742
83	0.9722666667	0.1293399114
84	0.9722666667	0.1293087127
85	0.9722666667	0.129299042
86	0.9722666667	0.1292988517
87	0.9722666667	0.127807249
88	0.9722666667	0.1275246743
89	0.9733333333	0.1258849626
90	0.9733333333	0.1258450302
91	0.9730666667	0.1254337085
92	0.9733333333	0.1250485556
93	0.9730666667	0.1245906736
94	0.9728	0.1240091279
95	0.9728	0.1239750039
96	0.9728	0.1239748644
97	0.9728	0.123884602
98	0.9725333333	0.122889786
99	0.9730666667	0.1217011789
