iter	Passed	Remaining
0	29	2940
1	31	1521
2	32	1037
3	35	858
4	37	716
5	38	608
6	44	595
7	46	531
8	48	487
9	49	446
10	65	529
11	66	487
12	67	453
13	68	422
14	70	399
15	71	375
16	73	360
17	75	341
18	76	324
19	77	309
20	82	310
21	89	316
22	112	376
23	113	359
24	125	377
25	130	370
26	142	383
27	144	371
28	156	382
29	172	402
30	174	388
31	190	404
32	191	389
33	192	374
34	204	378
35	207	368
36	208	355
37	209	342
38	211	330
39	213	319
40	214	308
41	235	325
42	237	314
43	238	303
44	239	292
45	242	284
46	244	275
47	245	266
48	246	256
49	249	249
50	250	240
51	270	249
52	289	256
53	290	247
54	291	238
55	293	230
56	294	222
57	295	213
58	296	206
59	298	198
60	299	191
61	300	184
62	301	177
63	303	170
64	304	163
65	305	157
66	319	157
67	337	159
68	339	152
69	341	146
70	344	140
71	357	138
72	378	139
73	379	133
74	385	128
75	387	122
76	388	116
77	390	110
78	406	108
79	408	102
80	425	99
81	427	93
82	428	87
83	432	82
84	433	76
85	434	70
86	435	65
87	446	60
88	447	55
89	464	51
90	465	46
91	467	40
92	468	35
93	470	30
94	472	24
95	474	19
96	475	14
97	476	9
98	478	4
99	480	0
