"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000591, 1, 0.000591, alpha='0.0004126639093412234',eta0='0.0017613324954003418'
0.094961, 0.351900, 0.096349, 1, 0.001388, alpha='0.0004126639093412234',eta0='0.0017613324954003418'
0.287099, 0.349600, 0.291352, 2, 0.004253, alpha='0.037163815274404384',eta0='0.020029702345968858'
0.411059, 0.349600, 0.419071, 3, 0.008012, alpha='0.001',eta0='0.01'
0.683013, 0.342100, 0.696465, 4, 0.013451, alpha='0.10693804138470717',eta0='1.4701197301483249e-05'
2.685887, 0.342100, 3.029488, 5, 0.343601, alpha='0.07671696495578885',eta0='1.3018502898698485e-05'
4.923690, 0.328600, 7.876226, 6, 2.952536, alpha='1.271912642414018e-05',eta0='0.17632876661110872'
5.606863, 0.321500, 8.898607, 7, 3.291744, alpha='1.1082812527674602e-05',eta0='0.8866681842069443'
7.471282, 0.318900, 15.302540, 8, 7.831258, alpha='0.0001457550735849506',eta0='0.9211346433650529'
10.139543, 0.316200, 22.016105, 9, 11.876562, alpha='1.1153359537185564e-05',eta0='0.9990063238155077'
11.370471, 0.307600, 26.770144, 10, 15.399673, alpha='1.0062169879301128e-05',eta0='0.7972125719487816'
11.984283, 0.283700, 28.087389, 11, 16.103106, alpha='1.0013784207030851e-05',eta0='0.6867074686692956'
