"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000596, 1, 0.000596, alpha='0.0004126639093412234',eta0='0.0017613324954003418'
2.519740, 0.042700, 2.521380, 1, 0.001640, alpha='0.0004126639093412234',eta0='0.0017613324954003418'
32.207036, 0.040400, 32.225952, 2, 0.018915, alpha='1.3751027885583958e-05',eta0='0.0001426968473177047'
103.966655, 0.040200, 105.739809, 3, 1.773154, alpha='0.0009854805095791679',eta0='0.011870304865455'
106.425350, 0.040000, 108.201498, 4, 1.776148, alpha='0.001',eta0='0.01'
143.551402, 0.039200, 146.826377, 5, 3.274975, alpha='0.0009858142322424852',eta0='0.007499448321513081'
168.138503, 0.038500, 171.778795, 6, 3.640292, alpha='0.0009508626286702488',eta0='0.0046579904428604435'
207.491802, 0.038100, 211.996609, 7, 4.504807, alpha='0.0010000000000000002',eta0='0.004645831671241565'
219.763252, 0.037800, 224.287325, 8, 4.524073, alpha='0.0010237270810443662',eta0='0.004637026520786414'
249.275671, 0.037400, 255.658598, 9, 6.382926, alpha='0.0011699516503902634',eta0='0.004636395356263649'
