"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.002119, 1, 0.002119, alpha='0.0004126639093412234',eta0='0.0017613324954003418'
2.357918, 0.182600, 2.375292, 1, 0.017374, alpha='0.0004126639093412234',eta0='0.0017613324954003418'
22.148217, 0.159600, 22.173487, 2, 0.025270, alpha='6.675963694532246e-05',eta0='0.13455959491033861'
101.455019, 0.157600, 103.717077, 3, 2.262058, alpha='6.835225541919954e-05',eta0='0.1153546845082282'
116.836293, 0.157500, 119.710593, 4, 2.874301, alpha='6.708768726192324e-05',eta0='0.04003893248226528'
147.642279, 0.157100, 152.225471, 5, 4.583192, alpha='6.792508210880082e-05',eta0='0.0983869270437363'
178.461942, 0.156800, 184.527761, 6, 6.065819, alpha='6.770521624944708e-05',eta0='0.050880830390943786'
233.516297, 0.155600, 243.360555, 7, 9.844258, alpha='6.605158136288773e-05',eta0='0.04968075635234512'
246.703557, 0.155400, 257.163020, 8, 10.459463, alpha='6.500422444231086e-05',eta0='0.052019625527726356'
405.128305, 0.154100, 425.841837, 9, 20.713532, alpha='4.288196006721538e-05',eta0='0.05205927651197122'
541.533823, 0.153200, 575.513862, 10, 33.980039, alpha='3.511638163493181e-05',eta0='0.05669767361862803'
