"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000584, 1, 0.000584, alpha='0.0040824718253228975',eta0='0.00044195488125554607'
0.964691, 0.217100, 0.966071, 1, 0.001380, alpha='0.0040824718253228975',eta0='0.00044195488125554607'
3.838009, 0.147300, 3.842424, 2, 0.004415, alpha='0.0007534803600179209',eta0='0.01638324291048883'
24.176177, 0.038300, 24.202501, 3, 0.026324, alpha='1.4230872500070733e-05',eta0='0.006316939148274451'
38.536396, 0.036900, 39.459619, 4, 0.923223, alpha='1.3629402582520324e-05',eta0='0.0069470201757510465'
74.073623, 0.036300, 77.339282, 5, 3.265659, alpha='1.4429623182461937e-05',eta0='0.008284365383853744'
78.867949, 0.035400, 82.144286, 6, 3.276337, alpha='1.445706788569297e-05',eta0='0.008441306725481023'
90.428583, 0.029700, 94.384419, 7, 3.955836, alpha='1.4458999852339874e-05',eta0='0.016398407690598485'
95.211642, 0.028900, 99.179402, 8, 3.967760, alpha='1.4456260577626807e-05',eta0='0.01284419523774241'
120.253048, 0.028200, 126.520059, 9, 6.267011, alpha='1.0590668756627245e-05',eta0='0.016294444453279947'
172.213622, 0.027500, 184.641370, 10, 12.427748, alpha='1.0604032665030476e-05',eta0='0.01762927952099398'
