"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000555, 1, 0.000555, alpha='0.0040824718253228975',eta0='0.00044195488125554607'
1.119172, 0.209600, 1.120513, 1, 0.001341, alpha='0.0040824718253228975',eta0='0.00044195488125554607'
16.045398, 0.205700, 16.058133, 2, 0.012735, alpha='0.14798430619583566',eta0='3.173402502821644e-05'
24.005701, 0.195700, 24.029943, 3, 0.024242, alpha='0.000182884801566337',eta0='0.0008272593854647256'
33.773167, 0.188200, 33.809084, 4, 0.035917, alpha='5.872228902171585e-05',eta0='0.00027724604623741747'
46.749530, 0.185600, 46.804683, 5, 0.055153, alpha='0.0021527079620027524',eta0='1.2132210994601314e-05'
65.054706, 0.183300, 66.568441, 6, 1.513735, alpha='1.5103248961863433e-05',eta0='0.0018104831892288423'
145.343514, 0.181800, 156.429485, 7, 11.085971, alpha='1.4212629073749811e-05',eta0='0.007131914481061131'
181.461829, 0.179900, 198.052514, 8, 16.590685, alpha='0.0021975851259773142',eta0='2.029593386884224e-05'
205.202635, 0.179700, 224.809580, 9, 19.606945, alpha='0.0022222219114013753',eta0='1.9889024596015212e-05'
212.681759, 0.179600, 232.309546, 10, 19.627787, alpha='0.002205749454576286',eta0='1.9853031107762963e-05'
256.787858, 0.176200, 281.729892, 11, 24.942034, alpha='0.0022222219114013753',eta0='1.9825300588189844e-05'
