"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000586, 1, 0.000586, alpha='0.0040824718253228975',eta0='0.00044195488125554607'
5.590197, 0.032200, 5.591691, 1, 0.001494, alpha='0.0040824718253228975',eta0='0.00044195488125554607'
38.762797, 0.032400, 38.772757, 2, 0.009960, alpha='2.1186147948258377e-05',eta0='8.558614272324676e-05'
206.635545, 0.032700, 207.116511, 3, 0.480967, alpha='5.987087405408788e-05',eta0='0.00011934699421054121'
250.168636, 0.032600, 250.968778, 4, 0.800142, alpha='5.256265986176492e-05',eta0='9.145587750654336e-05'
289.427946, 0.032200, 290.828265, 5, 1.400319, alpha='0.0008757558405110794',eta0='9.817457245399507e-05'
323.148309, 0.032100, 324.886435, 6, 1.738126, alpha='0.0008674365889610291',eta0='0.00012903993050252124'
389.993963, 0.031800, 392.589059, 7, 2.595096, alpha='0.0013575638492752883',eta0='0.00012205742886707617'
501.725984, 0.031700, 506.529403, 8, 4.803420, alpha='0.0015134334154210457',eta0='0.0001542851470684199'
533.542213, 0.031500, 538.799633, 9, 5.257420, alpha='0.0015678262571676535',eta0='0.00014651236745902866'
