"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000727, 1, 0.000727, alpha='0.0040824718253228975',eta0='0.00044195488125554607'
4.975762, 0.056400, 4.977794, 1, 0.002032, alpha='0.0040824718253228975',eta0='0.00044195488125554607'
18.229424, 0.032800, 18.234279, 2, 0.004855, alpha='0.0007534803600179209',eta0='0.01638324291048883'
78.712144, 0.033400, 78.731012, 3, 0.018868, alpha='0.000182884801566337',eta0='0.0008272593854647256'
126.127340, 0.033000, 126.161551, 4, 0.034211, alpha='5.872228902171585e-05',eta0='0.00027724604623741747'
156.130831, 0.017900, 156.175298, 5, 0.044467, alpha='1.4230872500070733e-05',eta0='0.006316939148274451'
203.240264, 0.017000, 203.621769, 6, 0.381505, alpha='1.4110259722099307e-05',eta0='0.007054633133044425'
224.544519, 0.016100, 224.934489, 7, 0.389969, alpha='1.0075080972852861e-05',eta0='0.008276744743074521'
271.820959, 0.015400, 272.783834, 8, 0.962875, alpha='1.417648889099785e-05',eta0='0.09728794293592007'
314.486729, 0.014900, 315.765349, 9, 1.278620, alpha='1.4241896926562013e-05',eta0='0.059091937436852225'
348.938010, 0.014700, 350.523603, 10, 1.585593, alpha='1.4317777407155677e-05',eta0='0.041070619678074856'
641.098895, 0.013700, 651.576987, 11, 10.478092, alpha='1.194765158494873e-05',eta0='0.05083589279175357'
748.868447, 0.013400, 762.804449, 12, 13.936002, alpha='1.0401194580481726e-05',eta0='0.05043513952327736'
791.822602, 0.013200, 806.078131, 13, 14.255529, alpha='1.1069707282070932e-05',eta0='0.04134928695050167'
1239.109159, 0.013200, 1269.855781, 14, 30.746622, alpha='1.0197780067877073e-05',eta0='0.05007820061653645'
