"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000589, 1, 0.000589, alpha='0.00011227070295712931',eta0='0.0029096933833365197'
3.314306, 0.699400, 3.315720, 1, 0.001414, alpha='0.00011227070295712931',eta0='0.0029096933833365197'
122.244407, 0.695800, 123.815321, 2, 1.570914, alpha='1.5559550895541734e-05',eta0='0.022337631961204377'
150.954861, 0.693100, 153.242989, 3, 2.288128, alpha='1.1913204384177244e-05',eta0='0.02364476241669858'
224.985661, 0.693000, 234.142202, 4, 9.156541, alpha='1.1854084487775719e-05',eta0='0.02476105929342659'
344.282345, 0.692700, 367.739897, 5, 23.457552, alpha='1.0142044243431197e-05',eta0='0.023781866236784945'
360.380351, 0.692700, 383.853764, 6, 23.473413, alpha='1.0005679794910796e-05',eta0='0.023998861538750766'
376.472820, 0.692700, 399.960410, 7, 23.487590, alpha='1.006590081443634e-05',eta0='0.02384416702388268'
472.451561, 0.691200, 507.893238, 8, 35.441677, alpha='1.0538647607105413e-05',eta0='0.00039316436968912647'
488.195428, 0.690600, 523.655470, 9, 35.460042, alpha='1.083575638492226e-05',eta0='0.00037245397752973236'
606.584119, 0.690300, 651.903055, 10, 45.318936, alpha='1.3298859055842638e-05',eta0='0.0003558579426982395'
770.491782, 0.689700, 828.238140, 11, 57.746358, alpha='1.5531876442374216e-05',eta0='0.0004939253854802125'
886.520994, 0.679800, 952.359109, 12, 65.838115, alpha='1.9148379748999492e-05',eta0='0.48343773215391667'
930.902345, 0.673300, 1002.066766, 13, 71.164421, alpha='1.164573985082885e-05',eta0='0.48854128448495254'
948.374489, 0.673000, 1019.574492, 14, 71.200003, alpha='1.0934636745506572e-05',eta0='0.4943780037023934'
968.976081, 0.671000, 1040.934075, 15, 71.957994, alpha='1.0013260243118026e-05',eta0='0.532884764521635'
