"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000579, 1, 0.000579, alpha='0.00011227070295712931',eta0='0.0029096933833365197'
2.761739, 0.247700, 2.763278, 1, 0.001539, alpha='0.00011227070295712931',eta0='0.0029096933833365197'
97.839125, 0.245100, 99.788732, 2, 1.949606, alpha='9.892291676081651e-05',eta0='0.002526864793407593'
121.159870, 0.243200, 123.627852, 3, 2.467982, alpha='0.0003365705545345801',eta0='0.0009707255841189388'
181.637425, 0.243000, 186.761166, 4, 5.123740, alpha='0.0003162798425361436',eta0='0.0009716232483579341'
414.723061, 0.242900, 435.853966, 5, 21.130905, alpha='0.000378835916635859',eta0='0.0004045190862616478'
641.716638, 0.242700, 680.716830, 6, 39.000192, alpha='0.0003290502418317021',eta0='0.0004466797952266598'
732.511629, 0.242700, 785.535784, 7, 53.024155, alpha='0.0003040130363562108',eta0='0.00040020172603986255'
750.666647, 0.242500, 804.896116, 8, 54.229469, alpha='0.0003024899950062732',eta0='0.0004177351891722585'
763.666589, 0.242300, 817.927027, 9, 54.260437, alpha='0.0003031090170997889',eta0='0.00044270549970522506'
