"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000590, 1, 0.000590, alpha='0.00011227070295712931',eta0='0.0029096933833365197'
5.717296, 0.104500, 5.718840, 1, 0.001544, alpha='0.00011227070295712931',eta0='0.0029096933833365197'
39.096352, 0.099400, 39.105576, 2, 0.009224, alpha='0.026542866188361353',eta0='8.075114966892127e-05'
56.053051, 0.095800, 56.067323, 3, 0.014272, alpha='0.001',eta0='0.01'
122.695317, 0.094800, 122.728204, 4, 0.032887, alpha='1.715136253541309e-05',eta0='0.0001288871339815063'
155.982473, 0.088000, 156.026268, 5, 0.043796, alpha='0.006935621833333125',eta0='0.0010997603618150208'
283.721339, 0.087500, 286.138012, 6, 2.416673, alpha='0.0069642394137344275',eta0='0.0011629272456562174'
328.166031, 0.084900, 331.431429, 7, 3.265398, alpha='0.019402536190307927',eta0='0.001223823099821685'
372.487128, 0.081200, 376.394969, 8, 3.907842, alpha='0.012845334286274126',eta0='0.0011182125897218939'
422.374796, 0.080400, 427.705252, 9, 5.330456, alpha='0.012456258227593862',eta0='0.001122546525614913'
