"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000036, 1, 0.000036, alpha='0.001',eta0='0.01'
5.204992, 0.048200, 5.205697, 1, 0.000705, alpha='0.001',eta0='0.01'
21.710657, 0.036300, 21.716676, 2, 0.006019, alpha='0.2222611632956835',eta0='7.173240601211391e-05'
77.634434, 0.034300, 77.655885, 3, 0.021451, alpha='0.002374055867675844',eta0='5.8767874739523716e-05'
132.504124, 0.033800, 132.538932, 4, 0.034808, alpha='0.005552327829437055',eta0='4.9488396977195885e-05'
213.884124, 0.033500, 213.949029, 5, 0.064905, alpha='0.00047563268189094034',eta0='2.3569613209121685e-05'
317.253217, 0.033300, 317.378835, 6, 0.125618, alpha='0.0001078522055815542',eta0='4.9275829905502194e-05'
431.772364, 0.033200, 431.966395, 7, 0.194031, alpha='0.000318032813290757',eta0='5.007167727427295e-05'
1491.497344, 0.032700, 1493.012595, 8, 1.515251, alpha='0.005656675603570246',eta0='1.2752121054386099e-05'
2043.442201, 0.032600, 2046.097360, 9, 2.655159, alpha='0.0003122483418086424',eta0='1.144751280544979e-05'
