"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000158, 1, 0.000158, alpha='0.001',eta0='0.01'
0.061896, 0.407000, 0.069411, 1, 0.007515, alpha='0.001',eta0='0.01'
1.163905, 0.450700, 1.218184, 2, 0.054278, alpha='0.408740948381559',eta0='0.00012041203090977921'
1.422195, 0.409300, 1.486675, 3, 0.064480, alpha='0.01373581320388105',eta0='3.6699345852038843e-05'
1.764676, 0.403900, 1.849089, 4, 0.084413, alpha='0.00027413255540362463',eta0='2.5353007616912505e-05'
2.220495, 0.401000, 2.329120, 5, 0.108625, alpha='2.7335319104944513e-05',eta0='1.1848235705025143e-05'
3.213348, 0.396800, 3.399431, 6, 0.186083, alpha='0.8325323886073862',eta0='1.130334572394576e-05'
11.608125, 0.394300, 13.437009, 7, 1.828884, alpha='0.11346261773043712',eta0='1.4656997578900684e-05'
12.945856, 0.393900, 15.151506, 8, 2.205650, alpha='0.0009407724715717882',eta0='1.4224770549951011e-05'
14.392442, 0.392900, 17.053449, 9, 2.661007, alpha='0.0006338380144148664',eta0='1.4992855578475283e-05'
16.141199, 0.392900, 19.350266, 10, 3.209067, alpha='0.08542914168007679',eta0='1.0970119887836273e-05'
