"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000046, 1, 0.000046, alpha='0.001',eta0='0.01'
1.010057, 0.099300, 1.010823, 1, 0.000766, alpha='0.001',eta0='0.01'
9.168592, 0.093900, 9.177513, 2, 0.008921, alpha='0.01706942529044376',eta0='0.0004888683437126603'
24.453695, 0.091100, 24.485567, 3, 0.031872, alpha='0.00709694490052734',eta0='0.0007010272514373521'
37.167258, 0.089400, 37.222682, 4, 0.055424, alpha='0.0013088121300544602',eta0='0.0027912063175679425'
42.600484, 0.086900, 42.667489, 5, 0.067005, alpha='0.0005346027675744891',eta0='0.00012611819074130615'
48.925487, 0.086600, 49.007839, 6, 0.082352, alpha='0.0003607178387172493',eta0='0.002092258613023033'
86.971810, 0.086100, 87.165741, 7, 0.193931, alpha='0.0035682437844131274',eta0='0.00011286522152720013'
94.143335, 0.085000, 94.361021, 8, 0.217686, alpha='0.0011592414721191937',eta0='7.953442579430926e-05'
136.617389, 0.084300, 137.014366, 9, 0.396977, alpha='3.104552354864535e-05',eta0='6.842092684125633e-05'
207.217235, 0.084200, 208.044453, 10, 0.827218, alpha='0.00012681953083820287',eta0='0.0007161403352154013'
243.738411, 0.083000, 244.826524, 11, 1.088113, alpha='1.5468797546399353e-05',eta0='0.0011183124560513033'
370.341258, 0.082800, 372.692668, 12, 2.351410, alpha='3.2247680683238064e-05',eta0='0.0010996110851862714'
526.342375, 0.082700, 530.864506, 13, 4.522131, alpha='3.1004418341714504e-05',eta0='0.0010256780344356712'
