"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000595, 1, 0.000595, alpha='0.0004126639093412234',eta0='0.0017613324954003418'
2.192423, 0.321300, 2.193967, 1, 0.001544, alpha='0.0004126639093412234',eta0='0.0017613324954003418'
27.493932, 0.302500, 27.510431, 2, 0.016499, alpha='1.3751027885583958e-05',eta0='0.0001426968473177047'
58.725194, 0.290000, 58.766934, 3, 0.041740, alpha='2.6979332069179497e-05',eta0='0.03342560639959951'
94.358413, 0.289900, 94.435342, 4, 0.076929, alpha='0.00010552133485562857',eta0='0.004699384441638126'
106.573846, 0.280900, 107.275059, 5, 0.701213, alpha='2.7834006790453546e-05',eta0='0.01850747846611266'
118.576468, 0.276400, 119.582446, 6, 1.005978, alpha='1.939996275420748e-05',eta0='0.017409570746763716'
130.489681, 0.275900, 131.861762, 7, 1.372081, alpha='1.3819971715022158e-05',eta0='0.018240682540532488'
164.597818, 0.275000, 167.218519, 8, 2.620702, alpha='1.6809190408898536e-05',eta0='0.015210369251664054'
186.694204, 0.274000, 190.861033, 9, 4.166829, alpha='1.7144598901810534e-05',eta0='0.013166826321465186'
226.890629, 0.273900, 234.513661, 10, 7.623032, alpha='1.5258929369602067e-05',eta0='0.014267548401691494'
387.573138, 0.273800, 429.934068, 11, 42.360930, alpha='1.5678034720787228e-05',eta0='0.01344993757650563'
397.602211, 0.273800, 439.994401, 12, 42.392190, alpha='1.6085377495510527e-05',eta0='0.013468250482469022'
583.464417, 0.273000, 677.679037, 13, 94.214620, alpha='1.684367030622232e-05',eta0='0.010436021060076978'
605.498634, 0.271100, 701.657463, 14, 96.158829, alpha='1.655074527655994e-05',eta0='0.004903064941227482'
