"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000689, 1, 0.000689, alpha='0.0004126639093412234',eta0='0.0017613324954003418'
2.213780, 0.182600, 2.215371, 1, 0.001591, alpha='0.0004126639093412234',eta0='0.0017613324954003418'
22.049789, 0.159600, 22.059873, 2, 0.010084, alpha='6.675963694532246e-05',eta0='0.13455959491033861'
121.114315, 0.157400, 124.201255, 3, 3.086940, alpha='6.77139186473021e-05',eta0='0.13536729606697773'
288.316480, 0.157200, 301.257184, 4, 12.940704, alpha='6.781184702096017e-05',eta0='0.10454253075963744'
345.523004, 0.156700, 362.626634, 5, 17.103630, alpha='6.737713441035007e-05',eta0='0.10306775049523705'
393.943909, 0.155100, 415.089271, 6, 21.145362, alpha='6.820088587844966e-05',eta0='0.056322857988154625'
431.336317, 0.154600, 456.464723, 7, 25.128406, alpha='4.0375302934404076e-05',eta0='0.04805880619757702'
442.318876, 0.154100, 467.468282, 8, 25.149406, alpha='4.051657735363431e-05',eta0='0.0515093056001434'
530.324409, 0.153700, 566.964167, 9, 36.639758, alpha='4.042881057817182e-05',eta0='0.05283531522725394'
