"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000601, 1, 0.000601, alpha='0.0004126639093412234',eta0='0.0017613324954003418'
5.592954, 0.038900, 5.594708, 1, 0.001754, alpha='0.0004126639093412234',eta0='0.0017613324954003418'
39.321381, 0.036600, 39.333505, 2, 0.012124, alpha='0.10693804138470717',eta0='1.4701197301483249e-05'
93.569159, 0.035500, 93.593239, 3, 0.024081, alpha='1.3751027885583958e-05',eta0='0.0001426968473177047'
142.904681, 0.035000, 142.942438, 4, 0.037757, alpha='0.011093798215005723',eta0='0.0001899065880253528'
176.627509, 0.033500, 176.677131, 5, 0.049622, alpha='0.0014439030581155858',eta0='2.6843996424460273e-05'
266.926794, 0.033400, 267.827284, 6, 0.900490, alpha='0.0031572547757361784',eta0='2.9098032609736703e-05'
295.176545, 0.033000, 296.087800, 7, 0.911255, alpha='0.0046341114643742775',eta0='2.3053385137121235e-05'
380.037155, 0.032700, 383.296024, 8, 3.258869, alpha='0.004320247845512277',eta0='1.4105751777437551e-05'
433.201845, 0.032700, 437.930612, 9, 4.728766, alpha='0.004437794637025094',eta0='1.2171863062046654e-05'
540.698275, 0.032300, 547.710620, 10, 7.012345, alpha='1.4320749064511378e-05',eta0='1.16163558125962e-05'
