"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.001329, 1, 0.001329, alpha='0.0040824718253228975',eta0='0.00044195488125554607'
3.210484, 0.800000, 3.212912, 1, 0.002428, alpha='0.0040824718253228975',eta0='0.00044195488125554607'
12.469762, 0.731500, 12.474860, 2, 0.005099, alpha='0.0007534803600179209',eta0='0.01638324291048883'
63.109862, 0.690800, 63.132341, 3, 0.022479, alpha='0.000182884801566337',eta0='0.0008272593854647256'
169.846043, 0.690300, 172.899200, 4, 3.053157, alpha='0.00018420780873835326',eta0='0.0007124821354899626'
280.069757, 0.690100, 286.526012, 5, 6.456255, alpha='0.0001859191008060442',eta0='0.000698961773766522'
318.652728, 0.690100, 326.364137, 6, 7.711409, alpha='0.00018422602056001849',eta0='0.0006989198019132102'
350.415864, 0.689900, 359.600460, 7, 9.184596, alpha='0.00018599596289245804',eta0='0.0006909803624192619'
458.000019, 0.689900, 476.051893, 8, 18.051874, alpha='0.0001897382106768142',eta0='0.0006969334178460856'
703.956778, 0.689800, 750.796942, 9, 46.840164, alpha='0.0002028613998237988',eta0='0.0006966991495845858'
