"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000565, 1, 0.000565, alpha='0.0040824718253228975',eta0='0.00044195488125554607'
0.903874, 0.092800, 0.905176, 1, 0.001302, alpha='0.0040824718253228975',eta0='0.00044195488125554607'
6.315143, 0.086700, 6.321350, 2, 0.006207, alpha='2.1186147948258377e-05',eta0='8.558614272324676e-05'
17.140036, 0.083400, 17.159924, 3, 0.019888, alpha='0.000182884801566337',eta0='0.0008272593854647256'
42.541004, 0.082900, 44.401403, 4, 1.860398, alpha='1.0129511192582045e-05',eta0='0.0007824161412427443'
67.056764, 0.082900, 72.222503, 5, 5.165739, alpha='6.244642235596714e-05',eta0='0.0014324926834223572'
79.815439, 0.082200, 87.209552, 6, 7.394113, alpha='1.4151139868100472e-05',eta0='0.0014413294140971015'
93.577502, 0.081900, 104.142839, 7, 10.565336, alpha='1.4212167563468447e-05',eta0='0.0012855059027830189'
98.105585, 0.081600, 108.684321, 8, 10.578736, alpha='1.435319141748468e-05',eta0='0.0013402640427370772'
168.183530, 0.081400, 200.649766, 9, 32.466235, alpha='1.7489437441825487e-05',eta0='0.0013909892229648482'
217.334668, 0.081200, 264.148163, 10, 46.813494, alpha='1.2404692528139633e-05',eta0='0.0013890322006179978'
