"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000674, 1, 0.000674, alpha='0.0040824718253228975',eta0='0.00044195488125554607'
4.197794, 0.056400, 4.199386, 1, 0.001592, alpha='0.0040824718253228975',eta0='0.00044195488125554607'
17.523644, 0.032800, 17.528792, 2, 0.005148, alpha='0.0007534803600179209',eta0='0.01638324291048883'
76.848823, 0.033400, 76.868714, 3, 0.019891, alpha='0.000182884801566337',eta0='0.0008272593854647256'
124.276133, 0.033000, 124.311586, 4, 0.035454, alpha='5.872228902171585e-05',eta0='0.00027724604623741747'
154.082769, 0.017900, 154.128476, 5, 0.045707, alpha='1.4230872500070733e-05',eta0='0.006316939148274451'
213.795028, 0.016300, 214.839952, 6, 1.044924, alpha='1.4202268493858945e-05',eta0='0.13190005045550257'
239.684233, 0.015600, 241.063991, 7, 1.379758, alpha='1.4150026033919442e-05',eta0='0.08051471744764387'
309.345063, 0.015300, 311.954209, 8, 2.609146, alpha='1.4150026033919442e-05',eta0='0.0670683673022806'
442.735637, 0.014700, 447.867080, 9, 5.131443, alpha='1.4144015272322656e-05',eta0='0.06277067137573272'
467.765399, 0.014200, 473.333081, 10, 5.567682, alpha='1.4091651304399521e-05',eta0='0.03648419926353203'
488.653278, 0.013900, 494.234646, 11, 5.581368, alpha='1.4104328614892682e-05',eta0='0.031012211152779422'
601.423709, 0.013700, 611.272141, 12, 9.848432, alpha='1.3596863724302875e-05',eta0='0.03513714777379175'
626.473980, 0.013100, 636.838326, 13, 10.364346, alpha='1.0089732148391048e-05',eta0='0.03589036787793334'
1264.925431, 0.013000, 1327.918654, 14, 62.993223, alpha='1.0000387272349918e-05',eta0='0.04598195495293078'
