"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000532, 1, 0.000532, alpha='0.0040824718253228975',eta0='0.00044195488125554607'
4.263015, 0.056400, 4.264423, 1, 0.001408, alpha='0.0040824718253228975',eta0='0.00044195488125554607'
17.086633, 0.032800, 17.090558, 2, 0.003925, alpha='0.0007534803600179209',eta0='0.01638324291048883'
76.982061, 0.033400, 76.999081, 3, 0.017020, alpha='0.000182884801566337',eta0='0.0008272593854647256'
124.139121, 0.033000, 124.168999, 4, 0.029878, alpha='5.872228902171585e-05',eta0='0.00027724604623741747'
154.151187, 0.017900, 154.191547, 5, 0.040360, alpha='1.4230872500070733e-05',eta0='0.006316939148274451'
214.489480, 0.016300, 215.604628, 6, 1.115148, alpha='1.4202268493858945e-05',eta0='0.13190005045550257'
240.254566, 0.015600, 241.693909, 7, 1.439343, alpha='1.4150026033919442e-05',eta0='0.08051471744764387'
308.959630, 0.015300, 311.432669, 8, 2.473039, alpha='1.4150026033919442e-05',eta0='0.0670683673022806'
441.753573, 0.014700, 446.774680, 9, 5.021107, alpha='1.4144015272322656e-05',eta0='0.06277067137573272'
467.407820, 0.014200, 472.855205, 10, 5.447385, alpha='1.4091651304399521e-05',eta0='0.03648419926353203'
488.784738, 0.013900, 494.245320, 11, 5.460582, alpha='1.4104328614892682e-05',eta0='0.031012211152779422'
604.336459, 0.013700, 613.998868, 12, 9.662409, alpha='1.3596863724302875e-05',eta0='0.03513714777379175'
630.289914, 0.013100, 640.470053, 13, 10.180139, alpha='1.0089732148391048e-05',eta0='0.03589036787793334'
1288.045077, 0.013000, 1350.008937, 14, 61.963860, alpha='1.0000387272349918e-05',eta0='0.04598195495293078'
