"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000586, 1, 0.000586, alpha='0.00011227070295712931',eta0='0.0029096933833365197'
0.137057, 0.395600, 0.138844, 1, 0.001787, alpha='0.00011227070295712931',eta0='0.0029096933833365197'
0.638845, 0.404500, 0.647315, 2, 0.008470, alpha='0.026542866188361353',eta0='8.075114966892127e-05'
1.110542, 0.411800, 1.124703, 3, 0.014161, alpha='0.0004927044981701337',eta0='0.12537334481910992'
2.091472, 0.399700, 2.117876, 4, 0.026404, alpha='1.715136253541309e-05',eta0='0.0001288871339815063'
2.154054, 0.399300, 2.181839, 5, 0.027785, alpha='0.001',eta0='0.01'
3.646296, 0.394100, 3.700146, 6, 0.053850, alpha='0.0003190060877215472',eta0='0.031153070612166146'
15.570097, 0.393100, 45.074272, 7, 29.504175, alpha='0.00022124683381935287',eta0='0.003960170202413189'
18.997411, 0.392700, 58.781532, 8, 39.784121, alpha='0.45820877496195694',eta0='1.6113687572889293e-05'
22.364999, 0.389200, 78.679321, 9, 56.314322, alpha='2.3349401579717094e-05',eta0='0.030862857384726373'
