"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000528, 1, 0.000528, C='0.08611366210550205',gamma='0.4942679928374453'
1.453946, 0.800000, 1.455160, 1, 0.001214, C='0.08611366210550205',gamma='0.4942679928374453'
5.405242, 0.663000, 5.409034, 2, 0.003792, C='19.433598606658386',gamma='9.232350409327609'
26.653681, 0.522600, 26.670508, 3, 0.016827, C='217.71503863741677',gamma='190.2917106769055'
69.094293, 0.493900, 69.370025, 4, 0.275732, C='670.9926026656552',gamma='711.9913569126471'
91.810929, 0.484700, 92.381743, 5, 0.570814, C='741.0084371062869',gamma='962.0821226329967'
128.370509, 0.484300, 130.032032, 6, 1.661523, C='721.4307051818207',gamma='966.007573427565'
147.864282, 0.484100, 149.536402, 7, 1.672120, C='730.5441595918293',gamma='962.0821226329967'
219.393262, 0.483400, 224.851434, 8, 5.458172, C='730.8508695950813',gamma='978.4668663600169'
485.797167, 0.482700, 502.512175, 9, 16.715008, C='728.6135790319795',gamma='978.9622764236439'
