"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000566, 1, 0.000566, C='0.08611366210550205',gamma='0.4942679928374453'
0.958117, 0.723000, 0.959389, 1, 0.001272, C='0.08611366210550205',gamma='0.4942679928374453'
5.251177, 0.633800, 5.254965, 2, 0.003788, C='19.433598606658386',gamma='9.232350409327609'
6.886052, 0.583200, 6.891606, 3, 0.005554, C='1.0',gamma='0.1'
17.602315, 0.573100, 17.620537, 4, 0.018222, C='4.532544074901469',gamma='0.03382327396632573'
26.825412, 0.569800, 26.853464, 5, 0.028053, C='490.89071375229827',gamma='0.4114559193983836'
39.006603, 0.548600, 39.052370, 6, 0.045767, C='76.5060885254147',gamma='0.08851540004701101'
54.661591, 0.545600, 56.693631, 7, 2.032040, C='72.40159621627821',gamma='0.08733149096021729'
122.348641, 0.545000, 130.463643, 8, 8.115002, C='70.41523370845941',gamma='0.08751245459075863'
167.247293, 0.544400, 179.269729, 9, 12.022436, C='69.74156262356921',gamma='0.0873638686506839'
