"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000582, 1, 0.000582, C='0.08611366210550205',gamma='0.4942679928374453'
0.137679, 0.207500, 0.139025, 1, 0.001346, C='0.08611366210550205',gamma='0.4942679928374453'
0.573562, 0.145400, 0.577440, 2, 0.003878, C='19.433598606658386',gamma='9.232350409327609'
2.360107, 0.124100, 2.378408, 3, 0.018301, C='0.9777853374117317',gamma='4.200721606776305'
3.205959, 0.122800, 3.235966, 4, 0.030007, C='490.89071375229827',gamma='0.4114559193983836'
3.819364, 0.121300, 3.858886, 5, 0.039522, C='174.3335385705781',gamma='1.5332384395652485'
4.659312, 0.112000, 4.711786, 6, 0.052474, C='76.5060885254147',gamma='0.08851540004701101'
5.037396, 0.107000, 5.460271, 7, 0.422875, C='99.43675503151451',gamma='0.03034435377116682'
5.423378, 0.105100, 6.769352, 8, 1.345973, C='102.93731125324757',gamma='0.028498003954088417'
6.133076, 0.102500, 9.307982, 9, 3.174906, C='103.51929926974235',gamma='0.028112596859180106'
