"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000530, 1, 0.000530, C='0.08611366210550205',gamma='0.4942679928374453'
0.026956, 0.500000, 0.028140, 1, 0.001184, C='0.08611366210550205',gamma='0.4942679928374453'
0.097975, 0.480900, 0.101210, 2, 0.003235, C='19.433598606658386',gamma='9.232350409327609'
0.139250, 0.185500, 0.144009, 3, 0.004759, C='1.0',gamma='0.1'
0.197761, 0.122000, 0.205614, 4, 0.007853, C='69.38389384208695',gamma='0.0015531477828170245'
0.519441, 0.117500, 0.548001, 5, 0.028560, C='8.634022457298675',gamma='0.007852177423455793'
0.747438, 0.117000, 1.044279, 6, 0.296841, C='4.680757545396245',gamma='0.005268377132845816'
0.805783, 0.115100, 1.109477, 7, 0.303695, C='5.7080306795067255',gamma='0.008102160191438635'
0.903742, 0.111800, 1.798867, 8, 0.895125, C='6.860531222914707',gamma='0.008102160191438635'
1.075803, 0.108700, 2.542475, 9, 1.466672, C='6.3962641717698006',gamma='0.008102160191438635'
