"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000581, 1, 0.000581, C='0.08611366210550205',gamma='0.4942679928374453'
0.586502, 0.345100, 0.587848, 1, 0.001346, C='0.08611366210550205',gamma='0.4942679928374453'
3.424636, 0.131900, 3.430841, 2, 0.006205, C='69.38389384208695',gamma='0.0015531477828170245'
3.998844, 0.118100, 4.007638, 3, 0.008794, C='1.0',gamma='0.1'
8.931398, 0.114800, 8.950579, 4, 0.019181, C='4.532544074901469',gamma='0.03382327396632573'
14.763372, 0.097900, 14.792526, 5, 0.029154, C='490.89071375229827',gamma='0.4114559193983836'
24.981376, 0.096900, 25.295602, 6, 0.314226, C='188.28068746632053',gamma='0.3950696674086461'
27.867406, 0.093400, 28.448502, 7, 0.581096, C='204.28337723765617',gamma='0.24228641334197565'
31.539502, 0.093300, 33.158852, 8, 1.619350, C='203.30625489986613',gamma='0.1918891605373617'
32.869665, 0.093300, 34.497944, 9, 1.628279, C='206.1598859560665',gamma='0.18621181423770733'
