"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000551, 1, 0.000551, C='1.3600811985592882',gamma='0.09352602871548096'
0.017500, 0.500000, 0.018774, 1, 0.001274, C='1.3600811985592882',gamma='0.09352602871548096'
0.217836, 0.414700, 0.233040, 2, 0.015204, C='102.59827344587585',gamma='0.0039228031036218506'
0.385601, 0.338700, 0.425349, 3, 0.039748, C='0.6293526165094239',gamma='0.0012324628012758837'
0.453285, 0.322400, 0.502578, 4, 0.049293, C='4.729862452035014',gamma='0.0020153549174183696'
0.539945, 0.307900, 0.873442, 5, 0.333497, C='5.527341041275131',gamma='0.0019052430049648638'
0.590335, 0.288900, 0.931419, 6, 0.341084, C='5.654224793658902',gamma='0.0016674844781279258'
0.656972, 0.282400, 1.291064, 7, 0.634092, C='7.634624133065819',gamma='0.0013489098654652784'
0.703026, 0.272700, 1.345699, 8, 0.642673, C='1.4900556730465153',gamma='0.0018618160241992382'
0.822000, 0.272500, 2.577401, 9, 1.755401, C='1.4370157750250028',gamma='0.0017827193462777887'
