"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000607, 1, 0.000607, C='1.3600811985592882',gamma='0.09352602871548096'
0.207350, 0.500000, 0.208752, 1, 0.001402, C='1.3600811985592882',gamma='0.09352602871548096'
2.380869, 0.275200, 2.403780, 2, 0.022911, C='102.59827344587585',gamma='0.0039228031036218506'
5.529993, 0.271100, 6.547387, 3, 1.017394, C='85.28004390412325',gamma='0.002092891212633489'
6.023997, 0.237600, 7.874266, 4, 1.850269, C='87.29257618356978',gamma='0.000986065935890834'
6.268294, 0.236900, 8.126751, 5, 1.858457, C='81.41315496135664',gamma='0.0012000824026409218'
11.324857, 0.219900, 20.414895, 6, 9.090038, C='106.75345372379802',gamma='0.0012068813172659055'
12.357677, 0.194600, 22.568267, 7, 10.210590, C='364.15978766781996',gamma='0.0012007200896937253'
13.018739, 0.170700, 23.669014, 8, 10.650275, C='573.1168544191695',gamma='0.0012007200896937253'
15.791047, 0.170100, 29.927064, 9, 14.136017, C='576.4658358901542',gamma='0.0012003801860298144'
