"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000561, 1, 0.000561, C='0.017961675793542162',gamma='0.9046232030638993'
0.013485, 0.666700, 0.014810, 1, 0.001325, C='0.017961675793542162',gamma='0.9046232030638993'
0.044753, 0.388200, 0.048134, 2, 0.003381, C='61.71933670840937',gamma='1.0864412265106145'
0.057319, 0.333300, 0.062121, 3, 0.004802, C='1.0',gamma='0.1'
0.078687, 0.240700, 0.086384, 4, 0.007697, C='12.958180650233897',gamma='0.01207858159167579'
0.147886, 0.074200, 0.164848, 5, 0.016962, C='198.6613474689375',gamma='0.09318781769031856'
0.306770, 0.061900, 0.659915, 6, 0.353145, C='201.97412167397187',gamma='0.08966226464153092'
0.455390, 0.053700, 2.404021, 7, 1.948631, C='200.49626065192322',gamma='0.05166850012876568'
0.635249, 0.016600, 4.410451, 8, 3.775202, C='132.46493098494446',gamma='0.048752158152907656'
0.683908, 0.012300, 4.835842, 9, 4.151934, C='144.18707230122757',gamma='0.04345267898210612'
1.188567, 0.008900, 11.475931, 10, 10.287364, C='779.2173282206223',gamma='0.04116869431215775'
1.797534, 0.004300, 17.402001, 11, 15.604466, C='459.9345758661655',gamma='0.0388425312409935'
1.837179, 0.000000, 17.463312, 12, 15.626132, C='452.9901946978897',gamma='0.03772953306890869'
