"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000634, 1, 0.000634, C='0.017961675793542162',gamma='0.9046232030638993'
0.008640, 0.500000, 0.010158, 1, 0.001518, C='0.017961675793542162',gamma='0.9046232030638993'
0.055407, 0.453500, 0.062911, 2, 0.007504, C='12.958180650233897',gamma='0.01207858159167579'
0.078879, 0.437500, 0.088918, 3, 0.010039, C='1.0',gamma='0.1'
0.255033, 0.394700, 0.286515, 4, 0.031482, C='176.75556488562856',gamma='0.002712060563487799'
0.439209, 0.393700, 1.763011, 5, 1.323802, C='146.64198341022035',gamma='0.001549594997300985'
0.787982, 0.380700, 4.683848, 6, 3.895866, C='2.037946400633751',gamma='0.0015728257189251958'
0.914939, 0.380600, 5.217929, 7, 4.302990, C='14.121636790885352',gamma='0.0015778281267197641'
1.282411, 0.373200, 8.897747, 8, 7.615336, C='6.633431818645145',gamma='0.0015778281267197641'
1.557091, 0.365200, 10.765967, 9, 9.208877, C='5.0553707313226415',gamma='0.0015778281267197641'
