"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000576, 1, 0.000576, C='0.017961675793542162',gamma='0.9046232030638993'
0.068405, 0.900000, 0.069740, 1, 0.001335, C='0.017961675793542162',gamma='0.9046232030638993'
0.253021, 0.859900, 0.256684, 2, 0.003663, C='61.71933670840937',gamma='1.0864412265106145'
0.389091, 0.758500, 0.394342, 3, 0.005251, C='1.0',gamma='0.1'
0.681972, 0.576700, 0.690702, 4, 0.008730, C='12.958180650233897',gamma='0.01207858159167579'
1.295015, 0.537000, 1.311789, 5, 0.016774, C='0.7731863785266639',gamma='0.0012442315522724887'
2.433659, 0.536600, 2.470533, 6, 0.036874, C='176.75556488562856',gamma='0.002712060563487799'
3.212148, 0.534900, 3.689330, 7, 0.477181, C='228.8278226259578',gamma='0.0013638822153731079'
3.696369, 0.532900, 4.181219, 8, 0.484850, C='291.6857126479732',gamma='0.0013400701919214482'
4.315425, 0.516600, 5.133371, 9, 0.817946, C='331.82971328097136',gamma='0.0010071701298812565'
4.942241, 0.513500, 6.059004, 10, 1.116763, C='484.25126489224493',gamma='0.0009936199985268396'
9.725623, 0.509200, 14.595206, 11, 4.869583, C='192.6031004273975',gamma='0.0009936199985268396'
10.239094, 0.506200, 15.121180, 12, 4.882086, C='191.34008666312212',gamma='0.0009936199985268396'
