"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000551, 1, 0.000551, C='0.017961675793542162',gamma='0.9046232030638993'
0.135332, 0.900000, 0.136640, 1, 0.001308, C='0.017961675793542162',gamma='0.9046232030638993'
0.516656, 0.899000, 0.522305, 2, 0.005649, C='61.71933670840937',gamma='1.0864412265106145'
0.766192, 0.896200, 0.774642, 3, 0.008450, C='1.0',gamma='0.1'
2.377652, 0.895200, 2.397389, 4, 0.019737, C='0.7731863785266639',gamma='0.0012442315522724887'
3.159027, 0.893400, 3.185405, 5, 0.026378, C='198.6613474689375',gamma='0.09318781769031856'
4.822166, 0.893200, 4.866620, 6, 0.044454, C='176.75556488562856',gamma='0.002712060563487799'
5.864544, 0.882300, 5.921926, 7, 0.057382, C='17.734802574793306',gamma='0.06491208861327971'
6.785210, 0.876800, 7.378406, 8, 0.593196, C='21.50127453845148',gamma='0.04752001389817498'
9.397214, 0.874000, 10.935974, 9, 1.538760, C='22.02534824557515',gamma='0.047006927092898276'
11.776337, 0.868400, 14.549455, 10, 2.773118, C='21.8043093913085',gamma='0.03954156917670391'
18.270907, 0.860100, 24.398661, 11, 6.127754, C='214.13466923778648',gamma='0.03757021166647717'
20.827551, 0.846200, 29.029694, 12, 8.202143, C='691.5509938945497',gamma='0.02833139793644917'
24.706641, 0.843400, 36.275650, 13, 11.569009, C='777.2330301125929',gamma='0.025167690790101144'
25.657511, 0.840700, 37.688649, 14, 12.031138, C='863.509489584208',gamma='0.02428030388535343'
