"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000622, 1, 0.000622, C='0.017961675793542162',gamma='0.9046232030638993'
1.875954, 0.840300, 1.877437, 1, 0.001483, C='0.017961675793542162',gamma='0.9046232030638993'
14.884975, 0.520700, 14.891598, 2, 0.006623, C='12.958180650233897',gamma='0.01207858159167579'
32.870909, 0.029300, 32.889199, 3, 0.018290, C='0.7731863785266639',gamma='0.0012442315522724887'
81.157142, 0.021000, 82.335688, 4, 1.178546, C='0.7538800172766841',gamma='0.0010751310260066036'
85.863133, 0.019400, 87.050594, 5, 1.187461, C='0.6647360932662064',gamma='0.0009949502018710807'
93.504672, 0.019000, 95.225293, 6, 1.720621, C='0.6730470173771781',gamma='0.0009872215079368034'
99.122637, 0.018600, 101.106385, 7, 1.983748, C='0.6826857713547226',gamma='0.0009872215079368034'
103.803814, 0.017800, 105.799240, 8, 1.995425, C='0.7288517982282319',gamma='0.0009909729468375614'
108.503081, 0.017300, 110.508325, 9, 2.005244, C='0.7368812767024826',gamma='0.0009797352717936315'
114.985705, 0.015800, 117.300109, 10, 2.314404, C='1.0769194588830897',gamma='0.00097667758232641'
