"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000529, 1, 0.000529, C='0.017961675793542162',gamma='0.9046232030638993'
0.440320, 0.500000, 0.441548, 1, 0.001228, C='0.017961675793542162',gamma='0.9046232030638993'
1.750881, 0.358300, 1.754723, 2, 0.003842, C='61.71933670840937',gamma='1.0864412265106145'
2.729793, 0.274400, 2.735330, 3, 0.005537, C='1.0',gamma='0.1'
4.747482, 0.129400, 4.756905, 4, 0.009423, C='12.958180650233897',gamma='0.01207858159167579'
11.829088, 0.118100, 11.861014, 5, 0.031925, C='176.75556488562856',gamma='0.002712060563487799'
16.584587, 0.105200, 17.069084, 6, 0.484496, C='315.16353151051436',gamma='0.0013449868987182854'
18.592368, 0.101900, 19.407291, 7, 0.814923, C='331.34442095227627',gamma='0.0011447866247185844'
21.024443, 0.101900, 22.446857, 8, 1.422414, C='331.59994924912985',gamma='0.0011028716891766386'
23.075356, 0.094600, 24.813096, 9, 1.737740, C='335.35510813912714',gamma='0.00102218641990955'
31.126066, 0.093100, 35.451529, 10, 4.325463, C='274.6715623960265',gamma='0.00101053728420138'
32.703560, 0.092300, 37.041213, 11, 4.337653, C='259.0586097651728',gamma='0.001017299571783064'
