"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000531, 1, 0.000531, C='0.017961675793542162',gamma='0.9046232030638993'
0.019099, 0.750000, 0.020344, 1, 0.001245, C='0.017961675793542162',gamma='0.9046232030638993'
0.149584, 0.552000, 0.156131, 2, 0.006547, C='12.958180650233897',gamma='0.01207858159167579'
0.314853, 0.369100, 0.330136, 3, 0.015283, C='0.7731863785266639',gamma='0.0012442315522724887'
0.609140, 0.342500, 0.644435, 4, 0.035295, C='176.75556488562856',gamma='0.002712060563487799'
0.782754, 0.341200, 1.124063, 5, 0.341309, C='244.19499987527183',gamma='0.0022892839132127576'
0.867845, 0.338600, 1.219265, 6, 0.351420, C='288.4598605644865',gamma='0.0019924746865103826'
0.984219, 0.336500, 1.690869, 7, 0.706650, C='372.64989420977884',gamma='0.0018421320502960913'
1.067155, 0.332100, 1.784575, 8, 0.717420, C='305.3668946173379',gamma='0.0015902836727785406'
2.246466, 0.316600, 7.987422, 9, 5.740956, C='2.9895554562565327',gamma='0.0012122990148101594'
2.400482, 0.315900, 9.776510, 10, 7.376028, C='3.7459498103093405',gamma='0.0011567265172070709'
2.606354, 0.306800, 10.810675, 11, 8.204321, C='3.851750902820109',gamma='0.0010289710757805837'
