"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000035, 1, 0.000035, C='1.0',gamma='0.1'
0.025437, 0.764600, 0.026043, 1, 0.000606, C='1.0',gamma='0.1'
0.269565, 0.764100, 0.289835, 2, 0.020270, C='3.0897471731383286',gamma='0.049857117783155845'
0.347754, 0.761500, 0.373595, 3, 0.025841, C='39.21398105049738',gamma='0.022039987863300175'
1.006205, 0.736600, 1.072537, 4, 0.066332, C='871.5114118311369',gamma='0.019532202976770125'
1.821390, 0.725200, 1.990121, 5, 0.168730, C='310.54195175803994',gamma='0.037423865677612134'
3.610338, 0.724500, 4.339164, 6, 0.728826, C='2.2328810883569434',gamma='0.23221086930475834'
4.077179, 0.721300, 4.997165, 7, 0.919986, C='1.393601528003832',gamma='0.26400962350333873'
4.676894, 0.713000, 5.877387, 8, 1.200493, C='3.4956359768547594',gamma='0.1708210893734465'
7.262316, 0.695300, 10.022758, 9, 2.760442, C='1.5615903617914266',gamma='0.2084260286703623'
