"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000044, 1, 0.000044, C='1.0',gamma='0.1'
58.363271, 0.500000, 58.364183, 1, 0.000912, C='1.0',gamma='0.1'
238.024436, 0.498900, 238.031691, 2, 0.007255, C='167.43465269107315',gamma='0.010473312293162985'
993.686861, 0.494700, 993.732449, 3, 0.045588, C='1.9695969079413513',gamma='0.0066983131773587995'
3181.164294, 0.484200, 3181.377332, 4, 0.213038, C='679.0325401248423',gamma='0.0030357544050474464'
4931.497692, 0.483600, 4931.899527, 5, 0.401835, C='1.3577833231108003',gamma='0.0023769411823143316'
8287.673137, 0.478300, 8288.577457, 6, 0.904320, C='10.18072871622912',gamma='0.002335135700216906'
9092.477355, 0.466900, 9093.536698, 7, 1.059343, C='1.3223942490815643',gamma='0.0010851536715203332'
9859.387470, 0.448100, 9860.593801, 8, 1.206331, C='32.813454176385534',gamma='0.001178310423896086'
16801.721449, 0.441300, 16804.582693, 9, 2.861244, C='8.692604106495832',gamma='0.0010324396783099518'
