"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000038, 1, 0.000038, C='1.0',gamma='0.1'
0.822206, 0.583200, 0.822860, 1, 0.000654, C='1.0',gamma='0.1'
3.755649, 0.574600, 3.759001, 2, 0.003352, C='167.43465269107315',gamma='0.010473312293162985'
8.330565, 0.574600, 8.337589, 3, 0.007024, C='131.61290023311957',gamma='0.649856834080378'
25.591316, 0.573100, 25.622256, 4, 0.030940, C='3.0897471731383286',gamma='0.049857117783155845'
31.616759, 0.567600, 31.658944, 5, 0.042185, C='39.21398105049738',gamma='0.022039987863300175'
56.986550, 0.563700, 57.074148, 6, 0.087598, C='871.5114118311369',gamma='0.019532202976770125'
102.917208, 0.557000, 103.127893, 7, 0.210685, C='310.54195175803994',gamma='0.037423865677612134'
115.183948, 0.553700, 115.426426, 8, 0.242478, C='380.9655224681025',gamma='0.03841596220220989'
168.907233, 0.551400, 169.359044, 9, 0.451811, C='220.97079009972745',gamma='0.03742629703068435'
205.056546, 0.549900, 205.687598, 10, 0.631052, C='126.80141761530793',gamma='0.0734182093776661'
260.599731, 0.540700, 261.537943, 11, 0.938212, C='84.92077836858748',gamma='0.1757655476197304'
420.608329, 0.538500, 422.818623, 12, 2.210294, C='50.39660865156551',gamma='0.23516027177426213'
