"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000072, 1, 0.000072, C='1.0',gamma='0.1'
1.203696, 0.900000, 1.204629, 1, 0.000933, C='1.0',gamma='0.1'
5.107438, 0.171000, 5.117141, 2, 0.009703, C='167.43465269107315',gamma='0.010473312293162985'
17.819181, 0.163600, 17.839922, 3, 0.020741, C='0.7080699222261617',gamma='0.008238286081969528'
30.511155, 0.048400, 30.545119, 4, 0.033964, C='1.9695969079413513',gamma='0.0066983131773587995'
47.102558, 0.028500, 47.166711, 5, 0.064153, C='0.10217305985410444',gamma='0.002741934497774073'
82.123770, 0.008100, 82.269663, 6, 0.145894, C='679.0325401248423',gamma='0.0030357544050474464'
123.021941, 0.007200, 123.294177, 7, 0.272236, C='1.3577833231108003',gamma='0.0023769411823143316'
215.576494, 0.006400, 216.278523, 8, 0.702029, C='1.3223942490815643',gamma='0.0010851536715203332'
229.081683, 0.005600, 229.881582, 9, 0.799899, C='32.813454176385534',gamma='0.001178310423896086'
