"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000046, 1, 0.000046, C='1.0',gamma='0.1'
0.838083, 0.118100, 0.839288, 1, 0.001205, C='1.0',gamma='0.1'
4.418026, 0.117700, 4.426293, 2, 0.008267, C='131.61290023311957',gamma='0.649856834080378'
13.438417, 0.107800, 13.464524, 3, 0.026107, C='3.0897471731383286',gamma='0.049857117783155845'
57.629958, 0.105100, 57.804089, 4, 0.174131, C='310.54195175803994',gamma='0.037423865677612134'
66.405325, 0.095600, 66.618782, 5, 0.213457, C='8.307456030796704',gamma='0.3192316207190183'
115.158339, 0.094400, 115.687421, 6, 0.529082, C='54.234636495074795',gamma='0.0634706678544993'
152.201538, 0.093800, 153.047204, 7, 0.845666, C='84.92077836858748',gamma='0.1757655476197304'
258.102038, 0.093000, 260.210283, 8, 2.108245, C='50.39660865156551',gamma='0.23516027177426213'
330.609022, 0.091800, 334.002932, 9, 3.393910, C='22.300173311870275',gamma='0.11630896961468701'
