"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000040, 1, 0.000040, C='1.0',gamma='0.1'
0.358736, 0.053200, 0.359360, 1, 0.000624, C='1.0',gamma='0.1'
4.167987, 0.044900, 4.176134, 2, 0.008147, C='7.615166584313989',gamma='0.10560628945782698'
11.605650, 0.040800, 11.627081, 3, 0.021431, C='66.34037087131655',gamma='0.15373657531118262'
20.300520, 0.039300, 20.343791, 4, 0.043270, C='284.8830541292723',gamma='0.2225750471432824'
27.040450, 0.039000, 27.100795, 5, 0.060344, C='11.681730948865015',gamma='0.23445175413074382'
48.086816, 0.036900, 48.192984, 6, 0.106168, C='1.5566809973345497',gamma='0.6413673500066547'
90.391911, 0.036100, 90.636887, 7, 0.244976, C='55.81629727459116',gamma='0.32280787361957786'
136.390459, 0.036000, 136.830959, 8, 0.440500, C='17.826383717003978',gamma='0.33854455483165175'
428.857148, 0.036000, 431.690613, 9, 2.833465, C='14.320944657460142',gamma='0.40036360937507076'
536.998425, 0.035700, 541.248383, 10, 4.249958, C='198.23748726056152',gamma='0.3303753866153899'
