"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000049, 1, 0.000049, C='1.0',gamma='0.1'
0.117598, 0.192900, 0.118330, 1, 0.000732, C='1.0',gamma='0.1'
2.532191, 0.184500, 2.550449, 2, 0.018258, C='16.640050128980878',gamma='0.02787815770602151'
3.941076, 0.168900, 3.966172, 3, 0.025096, C='123.2959685062631',gamma='8.261858035476857'
6.140780, 0.168300, 6.180172, 4, 0.039392, C='26.05692092119078',gamma='7.323940477654458'
8.131778, 0.159100, 8.184724, 5, 0.052946, C='367.5161020929368',gamma='0.05362665544757772'
12.874409, 0.157100, 12.985642, 6, 0.111233, C='14.808221051646633',gamma='0.15966041698268'
17.285402, 0.138000, 17.423819, 7, 0.138417, C='859.1688894796068',gamma='0.12241290359315758'
37.706798, 0.131000, 38.252519, 8, 0.545721, C='14.753274746575828',gamma='0.9871757570136822'
78.480671, 0.129800, 80.641582, 9, 2.160911, C='94.071371151246',gamma='0.3892141028534748'
113.075648, 0.129600, 117.605235, 10, 4.529587, C='18.646458069193084',gamma='0.8700677806669431'
