"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.001076, 1, 0.001076, C='0.08611366210550205',gamma='0.4942679928374453'
50.385231, 0.500000, 50.387807, 1, 0.002576, C='0.08611366210550205',gamma='0.4942679928374453'
272.429317, 0.499700, 272.439748, 2, 0.010432, C='19.433598606658386',gamma='9.232350409327609'
392.468995, 0.499400, 392.483293, 3, 0.014298, C='1.0',gamma='0.1'
642.484935, 0.455100, 642.510138, 4, 0.025203, C='69.38389384208695',gamma='0.0015531477828170245'
2128.000276, 0.454900, 2128.616163, 5, 0.615887, C='313.6353116319699',gamma='0.001554025778535538'
2701.013071, 0.454900, 2702.236908, 6, 1.223838, C='375.968057501866',gamma='0.0015832454154922255'
3164.627837, 0.454700, 3166.286111, 7, 1.658274, C='675.1419730292306',gamma='0.0015735417464297946'
4230.825688, 0.454700, 4235.483419, 8, 4.657731, C='923.3285645454041',gamma='0.0015809700114220594'
4948.880156, 0.454500, 4954.286291, 9, 5.406135, C='906.1425232583182',gamma='0.0016875256463316699'
6388.818349, 0.454500, 6398.569779, 10, 9.751430, C='906.1425232583182',gamma='0.001661734434115058'
6815.536809, 0.453900, 6826.088168, 11, 10.551359, C='8.7446202015728',gamma='0.001661177919994075'
7116.730768, 0.453900, 7127.310619, 12, 10.579851, C='9.518573083974346',gamma='0.0016620108697708977'
7733.967722, 0.453300, 7746.891443, 13, 12.923721, C='9.450544465957789',gamma='0.0017549941413679403'
8034.679930, 0.453000, 8047.635130, 14, 12.955200, C='9.452175844301902',gamma='0.001734842864493064'
8445.078576, 0.452900, 8458.926388, 15, 13.847812, C='5.395904967155771',gamma='0.0017307456155068101'
8848.387457, 0.452900, 8863.266172, 16, 14.878715, C='4.993903029642169',gamma='0.0017309071396038739'
9136.992600, 0.452700, 9151.906103, 17, 14.913503, C='5.170869984150242',gamma='0.0017237619398808273'
9841.968941, 0.452600, 9859.378362, 18, 17.409421, C='4.871821982319773',gamma='0.0017237619398808273'
10128.295877, 0.452500, 10145.750666, 19, 17.454789, C='4.993678194243908',gamma='0.0017214870533261548'
11730.132164, 0.452300, 11752.418762, 20, 22.286597, C='4.9786241085560015',gamma='0.0017058765958354954'
12510.738294, 0.452300, 12536.552462, 21, 25.814168, C='4.967997400775639',gamma='0.0017059183659425396'
