"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000805, 1, 0.000805, C='0.08611366210550205',gamma='0.4942679928374453'
15.085931, 0.310800, 15.087998, 1, 0.002067, C='0.08611366210550205',gamma='0.4942679928374453'
56.302308, 0.183100, 56.308614, 2, 0.006306, C='19.433598606658386',gamma='9.232350409327609'
705.858849, 0.175200, 706.582069, 3, 0.723220, C='21.240074675586353',gamma='15.116721488624199'
999.027923, 0.172000, 1000.046544, 4, 1.018621, C='20.945185462278424',gamma='81.6995669234856'
1351.052212, 0.171800, 1352.683021, 5, 1.630809, C='19.845110903352502',gamma='78.65095134682747'
2039.693415, 0.171800, 2043.353507, 6, 3.660092, C='19.74346508876306',gamma='78.91411895617078'
2472.844654, 0.171800, 2477.627590, 7, 4.782936, C='19.74346508876306',gamma='78.83185154946062'
2987.335176, 0.171700, 2994.715591, 8, 7.380415, C='19.964022465244476',gamma='78.83185154946062'
5209.922033, 0.165200, 5230.109086, 9, 20.187053, C='192.74072786790046',gamma='12.576115857666416'
5496.994290, 0.164500, 5518.115369, 10, 21.121079, C='197.44054674969712',gamma='12.62130131010001'
5698.099924, 0.164400, 5719.250224, 11, 21.150300, C='198.90806968234523',gamma='12.66533311508252'
5918.716317, 0.163600, 5940.367550, 12, 21.651233, C='201.1848325988655',gamma='13.16159322967727'
6146.713450, 0.163400, 6168.896362, 13, 22.182912, C='212.5941355508085',gamma='13.303099401989398'
6687.448805, 0.163400, 6712.698592, 14, 25.249788, C='214.77603875280965',gamma='13.303099401989398'
6880.056917, 0.163300, 6905.341865, 15, 25.284948, C='212.5941355508085',gamma='13.524433469034653'
7208.612635, 0.163100, 7235.537749, 16, 26.925114, C='242.52621397875575',gamma='13.524433469034653'
7535.780599, 0.163100, 7564.773272, 17, 28.992673, C='245.85512945025354',gamma='13.524433469034653'
7897.627548, 0.160500, 7928.092209, 18, 30.464661, C='250.74980799048876',gamma='20.25458320557736'
8135.880759, 0.159100, 8166.383229, 19, 30.502470, C='250.81788836445145',gamma='18.270841071835573'
8480.468750, 0.158400, 8511.945292, 20, 31.476542, C='313.3048797777928',gamma='18.270841071835573'
8805.118634, 0.158300, 8837.219246, 21, 32.100612, C='309.6940880224386',gamma='17.404215020976835'
11026.139271, 0.158200, 11080.110668, 22, 53.971397, C='310.93892502892203',gamma='17.364407223049984'
11344.990512, 0.158200, 11399.708629, 23, 54.718117, C='311.6936978231648',gamma='17.36078636061575'
