"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000580, 1, 0.000580, C='0.08611366210550205',gamma='0.4942679928374453'
0.013529, 0.500000, 0.014862, 1, 0.001333, C='0.08611366210550205',gamma='0.4942679928374453'
0.079223, 0.354800, 0.085669, 2, 0.006446, C='69.38389384208695',gamma='0.0015531477828170245'
0.307144, 0.343400, 0.739711, 3, 0.432567, C='14.503502131049498',gamma='0.001998283751109777'
0.457415, 0.331000, 2.303296, 4, 1.845881, C='2.370321272182407',gamma='0.0019518386345497506'
0.562823, 0.325600, 3.930204, 5, 3.367381, C='2.597168309090659',gamma='0.0019518386345497506'
2.564250, 0.318800, 28.104541, 6, 25.540291, C='318.44702508984653',gamma='0.0020638464674291716'
2.638014, 0.313400, 29.114662, 7, 26.476648, C='665.46600062829',gamma='0.002205033624255781'
2.715581, 0.313100, 29.681845, 8, 26.966264, C='815.6786925729501',gamma='0.0028394452001126147'
2.770543, 0.300300, 29.765773, 9, 26.995230, C='986.0907245308883',gamma='0.002592014393761316'
