"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000581, 1, 0.000581, C='0.08611366210550205',gamma='0.4942679928374453'
0.465705, 0.900000, 0.467102, 1, 0.001397, C='0.08611366210550205',gamma='0.4942679928374453'
1.896788, 0.894000, 1.901393, 2, 0.004605, C='19.433598606658386',gamma='9.232350409327609'
4.830905, 0.891200, 4.841817, 3, 0.010912, C='69.38389384208695',gamma='0.0015531477828170245'
13.781546, 0.866200, 13.822236, 4, 0.040690, C='8.634022457298675',gamma='0.007852177423455793'
19.437518, 0.857900, 19.747206, 5, 0.309688, C='8.35689887367655',gamma='0.006939825744444441'
62.229784, 0.855100, 71.332777, 6, 9.102993, C='5.780892804087493',gamma='0.006291694820091179'
97.684630, 0.852300, 113.778115, 7, 16.093485, C='1.4916612737161934',gamma='0.006156634152573492'
129.744618, 0.849600, 151.798920, 8, 22.054302, C='571.9608517503963',gamma='0.005097201051619734'
134.567281, 0.846800, 157.076372, 9, 22.509090, C='715.4650927001147',gamma='0.004284218025787724'
