"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000664, 1, 0.000664, C='0.08611366210550205',gamma='0.4942679928374453'
0.578114, 0.345100, 0.579561, 1, 0.001447, C='0.08611366210550205',gamma='0.4942679928374453'
3.378417, 0.131900, 3.384698, 2, 0.006281, C='69.38389384208695',gamma='0.0015531477828170245'
3.937781, 0.118100, 3.946599, 3, 0.008818, C='1.0',gamma='0.1'
8.066918, 0.114800, 8.085722, 4, 0.018804, C='4.532544074901469',gamma='0.03382327396632573'
12.935940, 0.097900, 12.964340, 5, 0.028400, C='490.89071375229827',gamma='0.4114559193983836'
24.698713, 0.095800, 26.146519, 6, 1.447807, C='489.89796446931416',gamma='0.3304711691497607'
28.095165, 0.094700, 30.088580, 7, 1.993415, C='489.72554928679483',gamma='0.3113134660653475'
30.442069, 0.093100, 33.239979, 8, 2.797910, C='489.22515846092506',gamma='0.28915688626383373'
32.230074, 0.092500, 35.037325, 9, 2.807251, C='489.0752519653698',gamma='0.3040630499905075'
34.000121, 0.091600, 36.817083, 10, 2.816962, C='488.33581770199646',gamma='0.29937421943459125'
