"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000642, 1, 0.000642, C='0.08611366210550205',gamma='0.4942679928374453'
0.282656, 0.666700, 0.284225, 1, 0.001569, C='0.08611366210550205',gamma='0.4942679928374453'
1.132686, 0.548400, 1.137068, 2, 0.004382, C='19.433598606658386',gamma='9.232350409327609'
1.717974, 0.510500, 1.724125, 3, 0.006151, C='1.0',gamma='0.1'
2.275472, 0.090900, 2.285373, 4, 0.009901, C='69.38389384208695',gamma='0.0015531477828170245'
4.452452, 0.090900, 4.476220, 5, 0.023768, C='0.3890836183952969',gamma='0.0032068857884111714'
6.979742, 0.090200, 7.019421, 6, 0.039679, C='8.634022457298675',gamma='0.007852177423455793'
8.919497, 0.084700, 9.465486, 7, 0.545989, C='1.440531036344721',gamma='0.007893055287744897'
10.151181, 0.084100, 11.759504, 8, 1.608323, C='1.6799906344639004',gamma='0.007893055287744897'
13.528393, 0.083200, 17.064666, 9, 3.536273, C='1.662623237586344',gamma='0.007893055287744897'
15.867218, 0.083100, 22.146011, 10, 6.278793, C='1.662623237586344',gamma='0.0059643124386615735'
