"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000544, 1, 0.000544, C='0.08611366210550205',gamma='0.4942679928374453'
0.470198, 0.564700, 0.471511, 1, 0.001313, C='0.08611366210550205',gamma='0.4942679928374453'
2.607133, 0.543200, 2.610940, 2, 0.003808, C='19.433598606658386',gamma='9.232350409327609'
3.193276, 0.129600, 3.198953, 3, 0.005678, C='1.0',gamma='0.1'
4.059093, 0.108300, 4.068246, 4, 0.009153, C='69.38389384208695',gamma='0.0015531477828170245'
6.614146, 0.087700, 6.633569, 5, 0.019423, C='4.532544074901469',gamma='0.03382327396632573'
15.440290, 0.087200, 17.402530, 6, 1.962240, C='4.596895667951068',gamma='0.03386612549730283'
16.196353, 0.086700, 18.167582, 7, 1.971230, C='4.646791659561837',gamma='0.033879151998490405'
58.674742, 0.081200, 93.584708, 8, 34.909966, C='37.44581369732154',gamma='0.007181681234217885'
59.851557, 0.079000, 96.068562, 9, 36.217005, C='37.26624526622376',gamma='0.006782753128348734'
