"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000569, 1, 0.000569, C='1.3600811985592882',gamma='0.09352602871548096'
0.019567, 0.500000, 0.020877, 1, 0.001310, C='1.3600811985592882',gamma='0.09352602871548096'
0.206394, 0.414700, 0.221818, 2, 0.015423, C='102.59827344587585',gamma='0.0039228031036218506'
0.374813, 0.338700, 0.410157, 3, 0.035344, C='0.6293526165094239',gamma='0.0012324628012758837'
0.440421, 0.322400, 0.485165, 4, 0.044744, C='4.729862452035014',gamma='0.0020153549174183696'
0.631467, 0.308600, 2.025878, 5, 1.394411, C='16.08196142180827',gamma='0.001012751162100806'
0.728701, 0.299200, 2.738812, 6, 2.010111, C='28.375886548810094',gamma='0.0010249140706441483'
0.921226, 0.270600, 4.994751, 7, 4.073525, C='3.331414108124124',gamma='0.0010249816264669457'
1.211070, 0.263000, 10.078607, 8, 8.867537, C='0.9504152583272307',gamma='0.0010249816264669457'
1.538683, 0.256100, 13.977500, 9, 12.438817, C='1.1150650821779224',gamma='0.0010241758578015984'
1.683015, 0.253700, 15.519520, 10, 13.836505, C='1.5162156239009694',gamma='0.0010240491107843977'
1.729363, 0.253700, 15.581714, 11, 13.852351, C='2.0217965800007405',gamma='0.001022150697440032'
