"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000559, 1, 0.000559, C='1.3600811985592882',gamma='0.09352602871548096'
0.819414, 0.577900, 0.820715, 1, 0.001301, C='1.3600811985592882',gamma='0.09352602871548096'
29.900301, 0.575600, 30.153529, 2, 0.253228, C='1.5205181336971474',gamma='0.09690034772742774'
37.272933, 0.572300, 37.798142, 3, 0.525209, C='1.6932230800150823',gamma='0.09739384607573932'
43.009264, 0.572100, 44.256181, 4, 1.246917, C='1.6924466778091243',gamma='0.09834964591553925'
47.097243, 0.571200, 48.352157, 5, 1.254914, C='1.7039234971129626',gamma='0.09930587309950392'
56.516535, 0.570600, 58.353549, 6, 1.837014, C='1.7137945121034355',gamma='0.0997481571451095'
61.466047, 0.566200, 63.608756, 7, 2.142709, C='3.423512571562025',gamma='0.0997481571451095'
65.579971, 0.565800, 67.732486, 8, 2.152515, C='4.0106111262559025',gamma='0.0997593392483926'
70.529479, 0.561700, 72.992097, 9, 2.462619, C='4.150063310907319',gamma='0.0997593392483926'
74.643434, 0.561100, 77.116893, 10, 2.473460, C='4.222054957471419',gamma='0.09978867457381588'
79.602038, 0.559600, 82.415981, 11, 2.813943, C='4.283084382420283',gamma='0.1043983568653753'
83.730766, 0.559400, 86.556201, 12, 2.825435, C='4.341960804628065',gamma='0.10511945977184355'
182.017617, 0.547500, 202.170203, 13, 20.152586, C='119.79486533359108',gamma='0.04750621083234128'
193.201328, 0.547200, 216.611794, 14, 23.410467, C='121.2325183746788',gamma='0.22521687143804112'
205.377585, 0.546500, 230.145459, 15, 24.767874, C='122.49755568033224',gamma='0.20881897708979455'
217.642396, 0.545700, 245.844648, 16, 28.202252, C='489.32755330170096',gamma='0.20818163786190028'
222.473195, 0.545100, 250.700636, 17, 28.227441, C='137.18324418067866',gamma='0.20859094655747057'
249.875468, 0.544100, 289.336554, 18, 39.461087, C='149.86774831172616',gamma='0.20859094655747057'
264.341204, 0.544000, 307.019095, 19, 42.677891, C='147.22387575710968',gamma='0.20560783713567565'
269.749149, 0.541000, 313.051145, 20, 43.301996, C='143.22758550170147',gamma='0.10112368115103204'
