"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000557, 1, 0.000557, C='1.3600811985592882',gamma='0.09352602871548096'
0.034889, 0.735300, 0.036160, 1, 0.001271, C='1.3600811985592882',gamma='0.09352602871548096'
0.298191, 0.408400, 0.310138, 2, 0.011947, C='102.59827344587585',gamma='0.0039228031036218506'
0.601432, 0.372100, 0.632417, 3, 0.030986, C='0.6293526165094239',gamma='0.0012324628012758837'
0.717465, 0.338600, 0.757412, 4, 0.039947, C='4.729862452035014',gamma='0.0020153549174183696'
0.863271, 0.333700, 1.152424, 5, 0.289153, C='5.527341041275131',gamma='0.0019052430049648638'
1.253794, 0.329500, 4.019889, 6, 2.766095, C='3.6693595274260042',gamma='0.0019026414779665475'
1.430349, 0.326000, 4.495412, 7, 3.065064, C='2.0470925174345926',gamma='0.0018943402621994711'
1.973348, 0.317700, 8.583569, 8, 6.610221, C='2.6409545330296385',gamma='0.0018932583270067065'
3.023255, 0.307500, 15.249187, 9, 12.225932, C='2.6288035281631883',gamma='0.001022779476898215'
