"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000628, 1, 0.000628, C='0.017961675793542162',gamma='0.9046232030638993'
1.435991, 0.800000, 1.437519, 1, 0.001528, C='0.017961675793542162',gamma='0.9046232030638993'
5.497527, 0.687700, 5.501693, 2, 0.004166, C='61.71933670840937',gamma='1.0864412265106145'
23.216640, 0.548500, 23.233933, 3, 0.017293, C='1.1666696007836892',gamma='817.7900441600038'
52.976864, 0.534600, 53.024143, 4, 0.047279, C='108.00862681573867',gamma='207.70324167973448'
66.435689, 0.532000, 66.998290, 5, 0.562601, C='117.352649196078',gamma='207.01409761213472'
75.369389, 0.529100, 75.941255, 6, 0.571866, C='129.56518693383418',gamma='208.0806748371455'
84.280847, 0.529000, 84.860909, 7, 0.580063, C='128.62843197380207',gamma='209.05484701889867'
95.130394, 0.515400, 95.985977, 8, 0.855583, C='124.47900928481553',gamma='311.1263014717732'
110.158853, 0.514900, 111.951662, 9, 1.792809, C='120.22755791941196',gamma='304.5070711133333'
122.950488, 0.514700, 125.385907, 10, 2.435419, C='120.22755791941196',gamma='305.59812182741763'
