"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000583, 1, 0.000583, C='0.017961675793542162',gamma='0.9046232030638993'
0.017746, 0.500000, 0.019055, 1, 0.001309, C='0.017961675793542162',gamma='0.9046232030638993'
0.101920, 0.390200, 0.108227, 2, 0.006307, C='12.958180650233897',gamma='0.01207858159167579'
0.201383, 0.348900, 0.216845, 3, 0.015462, C='0.7731863785266639',gamma='0.0012442315522724887'
0.373533, 0.316700, 0.409322, 4, 0.035789, C='176.75556488562856',gamma='0.002712060563487799'
0.505949, 0.316500, 1.033905, 5, 0.527956, C='324.4967559003257',gamma='0.00219509802222093'
0.565703, 0.316200, 1.103288, 6, 0.537585, C='269.9559197163081',gamma='0.0025609476605892166'
2.041120, 0.311000, 12.154095, 7, 10.112975, C='239.09633651257076',gamma='0.0025281449937847927'
2.375153, 0.306700, 14.303588, 8, 11.928435, C='3.9987171994625332',gamma='0.002527303236189002'
3.059368, 0.304300, 21.460985, 9, 18.401618, C='3.9459444492266784',gamma='0.00209679430822771'
4.025539, 0.302800, 32.176187, 10, 28.150647, C='5.2100335380898795',gamma='0.002116881536500039'
