"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000538, 1, 0.000538, C='0.017961675793542162',gamma='0.9046232030638993'
0.010551, 0.500000, 0.011806, 1, 0.001255, C='0.017961675793542162',gamma='0.9046232030638993'
0.035959, 0.481700, 0.039136, 2, 0.003177, C='61.71933670840937',gamma='1.0864412265106145'
0.049191, 0.440600, 0.055286, 3, 0.006094, C='1.0',gamma='0.1'
0.077668, 0.404400, 0.086691, 4, 0.009023, C='12.958180650233897',gamma='0.01207858159167579'
1.698338, 0.393800, 18.016133, 5, 16.317795, C='545.258983092041',gamma='0.0025007021155364615'
1.888271, 0.387400, 20.189627, 6, 18.301356, C='549.0943996532957',gamma='0.0025254786660363787'
2.053468, 0.382700, 21.650708, 7, 19.597240, C='577.1711769256289',gamma='0.0026755828779061594'
2.307110, 0.381700, 23.543963, 8, 21.236854, C='595.8071470209865',gamma='0.003322510920027089'
3.388211, 0.378100, 32.119269, 9, 28.731059, C='593.8141271036847',gamma='0.003071976859518577'
3.479172, 0.371700, 32.238376, 10, 28.759204, C='592.7006785032842',gamma='0.003051686424107134'
