"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000770, 1, 0.000770, C='0.017961675793542162',gamma='0.9046232030638993'
1.017438, 0.500000, 1.019085, 1, 0.001647, C='0.017961675793542162',gamma='0.9046232030638993'
4.473981, 0.487100, 4.478114, 2, 0.004133, C='61.71933670840937',gamma='1.0864412265106145'
7.131131, 0.485300, 7.138331, 3, 0.007200, C='1.0',gamma='0.1'
13.712045, 0.472700, 13.724797, 4, 0.012752, C='12.958180650233897',gamma='0.01207858159167579'
29.958054, 0.471200, 29.984655, 5, 0.026601, C='198.6613474689375',gamma='0.09318781769031856'
55.694972, 0.469800, 55.749879, 6, 0.054907, C='17.734802574793306',gamma='0.06491208861327971'
115.082899, 0.466000, 118.566992, 7, 3.484093, C='112.64142721717552',gamma='0.06538809460058478'
199.414893, 0.465800, 209.782808, 8, 10.367915, C='175.56280197733014',gamma='0.06560757584952516'
225.813514, 0.465500, 236.567333, 9, 10.753819, C='168.93186912365175',gamma='0.013267078485333449'
299.282929, 0.465500, 314.499154, 10, 15.216225, C='169.03501438970395',gamma='0.013434803383584076'
329.627972, 0.465200, 346.066301, 11, 16.438329, C='169.2757740385692',gamma='0.013437233357995145'
715.006997, 0.465200, 750.747940, 12, 35.740943, C='169.2757740385692',gamma='0.013558920884210108'
759.380201, 0.464900, 797.364105, 13, 37.983904, C='169.2757740385692',gamma='0.01366360438941025'
