"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000525, 1, 0.000525, C='0.017961675793542162',gamma='0.9046232030638993'
0.071137, 0.900000, 0.072381, 1, 0.001244, C='0.017961675793542162',gamma='0.9046232030638993'
0.257115, 0.859900, 0.260737, 2, 0.003622, C='61.71933670840937',gamma='1.0864412265106145'
0.395407, 0.758500, 0.400712, 3, 0.005305, C='1.0',gamma='0.1'
0.699397, 0.576700, 0.708150, 4, 0.008753, C='12.958180650233897',gamma='0.01207858159167579'
1.302464, 0.537000, 1.319068, 5, 0.016604, C='0.7731863785266639',gamma='0.0012442315522724887'
2.416377, 0.536600, 2.452037, 6, 0.035661, C='176.75556488562856',gamma='0.002712060563487799'
3.777707, 0.531400, 4.809519, 7, 1.031812, C='39.73355713376824',gamma='0.002747782419272052'
5.581534, 0.530400, 9.983649, 8, 4.402115, C='38.73603768919367',gamma='0.002747782419272052'
8.080462, 0.529000, 15.830721, 9, 7.750259, C='37.69025915055693',gamma='0.0027493829200251176'
