"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000535, 1, 0.000535, C='0.017961675793542162',gamma='0.9046232030638993'
0.138896, 0.900000, 0.140159, 1, 0.001263, C='0.017961675793542162',gamma='0.9046232030638993'
0.516595, 0.899000, 0.520198, 2, 0.003603, C='61.71933670840937',gamma='1.0864412265106145'
0.764290, 0.896200, 0.769521, 3, 0.005231, C='1.0',gamma='0.1'
2.375767, 0.895200, 2.391817, 4, 0.016051, C='0.7731863785266639',gamma='0.0012442315522724887'
3.160634, 0.893400, 3.183193, 5, 0.022559, C='198.6613474689375',gamma='0.09318781769031856'
4.825759, 0.893200, 4.863990, 6, 0.038231, C='176.75556488562856',gamma='0.002712060563487799'
5.874981, 0.882300, 5.925141, 7, 0.050160, C='17.734802574793306',gamma='0.06491208861327971'
8.111128, 0.874000, 8.953844, 8, 0.842716, C='18.030157998677403',gamma='0.04556502114018989'
9.706153, 0.871200, 11.073554, 9, 1.367401, C='20.645014234605817',gamma='0.04133506051628633'
38.297807, 0.868400, 59.299546, 10, 21.001739, C='1.4712859264839655',gamma='0.039555821869975916'
39.094565, 0.862900, 60.559624, 11, 21.465059, C='36.619935866069575',gamma='0.03786747624467463'
39.887369, 0.846200, 61.997695, 12, 22.110326, C='2.8186879313914117',gamma='0.03410791851718834'
