"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000586, 1, 0.000586, C='0.017961675793542162',gamma='0.9046232030638993'
0.033856, 0.500000, 0.035219, 1, 0.001363, C='0.017961675793542162',gamma='0.9046232030638993'
0.113873, 0.465400, 0.117774, 2, 0.003901, C='61.71933670840937',gamma='1.0864412265106145'
0.156226, 0.185500, 0.161865, 3, 0.005639, C='1.0',gamma='0.1'
0.216425, 0.131700, 0.225946, 4, 0.009521, C='12.958180650233897',gamma='0.01207858159167579'
0.694800, 0.131600, 1.221512, 5, 0.526712, C='42.59361575780481',gamma='0.01144475926139619'
0.803851, 0.124800, 1.844239, 6, 1.040388, C='30.612985940854966',gamma='0.008704323716498772'
1.107001, 0.122500, 3.296001, 7, 2.189000, C='9.52624698634261',gamma='0.008583783559096007'
1.176536, 0.120700, 3.374697, 8, 2.198161, C='11.330895431821508',gamma='0.008579481537237211'
1.244750, 0.112100, 3.454679, 9, 2.209929, C='6.867238386149775',gamma='0.008718802805284373'
1.623545, 0.108700, 6.563985, 10, 4.940440, C='5.511637551485393',gamma='0.008763317823788965'
