"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000550, 1, 0.000550, C='0.017961675793542162',gamma='0.9046232030638993'
0.109865, 0.857100, 0.111189, 1, 0.001324, C='0.017961675793542162',gamma='0.9046232030638993'
0.441718, 0.506300, 0.445393, 2, 0.003675, C='61.71933670840937',gamma='1.0864412265106145'
0.629044, 0.171700, 0.634513, 3, 0.005469, C='1.0',gamma='0.1'
0.843278, 0.090300, 0.852207, 4, 0.008929, C='12.958180650233897',gamma='0.01207858159167579'
1.976773, 0.085200, 2.005237, 5, 0.028464, C='176.75556488562856',gamma='0.002712060563487799'
2.996934, 0.084700, 4.138319, 6, 1.141385, C='268.23445286706175',gamma='0.0026983202355547915'
3.373152, 0.076200, 5.338559, 7, 1.965407, C='1.6708231281244514',gamma='0.0026727674068592424'
3.528532, 0.065300, 5.786613, 8, 2.258081, C='3.8826814967861525',gamma='0.0026725981387145095'
4.351727, 0.063300, 10.976302, 9, 6.624575, C='3.9149019954914053',gamma='0.0026725981387145095'
